EP011949, UNNAMED,7,,,,,,,,,,,,,,,,,,
19510826,1800,, TS,22.1N,113.6W,45,,,,,,,,,,,,,,
19510827,0,, TS,22.5N,115.1W,45,,,,,,,,,,,,,,
19510827,600,, TS,23.3N,115.6W,45,,,,,,,,,,,,,,
19510827,1200,, TS,24.3N,115.8W,45,,,,,,,,,,,,,,
19510827,1800,, TS,25.6N,115.9W,45,,,,,,,,,,,,,,
19510828,0,, TS,26.9N,116.0W,45,,,,,,,,,,,,,,
19510828,600,, TS,27.9N,116.0W,45,,,,,,,,,,,,,,
19510828,1200,, TS,28.8N,116.0W,45,,,,,,,,,,,,,,
19510828,1800,, TS,29.9N,115.8W,45,,,,,,,,,,,,,,
19510829,0,, TS,31.0N,115.5W,45,,,,,,,,,,,,,,
19510829,600,, TD,31.7N,115.3W,25,,,,,,,,,,,,,,
19510829,1200,, TD,31.9N,115.2W,25,,,,,,,,,,,,,,
EP071951, UNNAMED,17,,,,,,,,,,,,,,,,,,
19510911,1200,, TS,17.1N,105.6W,45,,,,,,,,,,,,,,
19510911,1800,, TS,17.9N,105.6W,45,,,,,,,,,,,,,,
19510912,0,, TS,18.6N,105.7W,45,,,,,,,,,,,,,,
19510912,600,, TS,19.2N,105.7W,45,,,,,,,,,,,,,,
19510912,1200,, TS,19.8N,105.8W,45,,,,,,,,,,,,,,
19510912,1800,, TS,20.4N,106.2W,45,,,,,,,,,,,,,,
19510913,0,, TS,20.9N,106.7W,45,,,,,,,,,,,,,,
19510913,600,, TS,21.2N,106.9W,45,,,,,,,,,,,,,,
19510913,1200,, TS,21.4N,107.2W,45,,,,,,,,,,,,,,
19510913,1800,, TS,21.6N,107.5W,45,,,,,,,,,,,,,,
19510914,0,, TS,21.8N,107.8W,45,,,,,,,,,,,,,,
19510914,600,, TS,21.9N,108.1W,45,,,,,,,,,,,,,,
19510914,1200,, TS,21.9N,108.4W,45,,,,,,,,,,,,,,
19510914,1800,, TS,21.8N,108.8W,45,,,,,,,,,,,,,,
19510915,0,, TS,21.7N,109.4W,45,,,,,,,,,,,,,,
19510915,600,, TS,21.7N,110.2W,45,,,,,,,,,,,,,,
19510915,1200,, TS,21.9N,110.9W,45,,,,,,,,,,,,,,
EP081951, UNNAMED,21,,,,,,,,,,,,,,,,,,
19510923,1200,, HU,13.4N,100.7W,75,,,,,,,,,,,,,,
19510923,1800,, HU,13.5N,101.7W,75,,,,,,,,,,,,,,
19510924,0,, HU,13.8N,102.6W,75,,,,,,,,,,,,,,
19510924,600,, HU,14.3N,103.3W,75,,,,,,,,,,,,,,
19510924,1200,, HU,14.8N,104.0W,75,,,,,,,,,,,,,,
19510924,1800,, HU,15.2N,105.0W,75,,,,,,,,,,,,,,
19510925,0,, HU,15.5N,106.1W,75,,,,,,,,,,,,,,
19510925,600,, HU,15.7N,107.1W,75,,,,,,,,,,,,,,
19510925,1200,, HU,16.0N,108.0W,75,,,,,,,,,,,,,,
19510925,1800,, HU,16.3N,109.1W,75,,,,,,,,,,,,,,
19510926,0,, HU,16.7N,110.2W,75,,,,,,,,,,,,,,
19510926,600,, HU,17.2N,111.5W,75,,,,,,,,,,,,,,
19510926,1200,, HU,17.8N,112.8W,75,,,,,,,,,,,,,,
